DATE	TIME	Open	High	Low	Close	TICKVOL	VOL	SPREAD
2019.12.10	15:10:00	110480	110535	110450	110500	7426	33746	5
2019.12.10	15:15:00	110495	110610	110485	110585	15012	67503	5
2019.12.10	15:20:00	110585	110635	110575	110590	9955	46385	5
2019.12.10	15:25:00	110585	110595	110540	110590	9035	39594	5
2019.12.10	15:30:00	110590	110630	110580	110610	6519	29272	5
2019.12.10	15:35:00	110615	110630	110555	110565	6536	29601	5
2019.12.10	15:40:00	110565	110595	110520	110545	8371	36257	5
2019.12.10	15:45:00	110540	110565	110495	110535	8844	40226	5
2019.12.10	15:50:00	110530	110570	110510	110560	5429	23617	5
2019.12.10	15:55:00	110560	110595	110550	110585	4719	21829	5
2019.12.10	16:00:00	110585	110600	110550	110590	6284	31277	5
2019.12.10	16:05:00	110590	110670	110565	110640	11621	53275	5
2019.12.10	16:10:00	110640	110700	110640	110685	9663	44494	5
2019.12.10	16:15:00	110685	110685	110645	110655	5288	24420	5
2019.12.10	16:20:00	110650	110685	110630	110650	7272	31903	5
2019.12.10	16:25:00	110650	110690	110645	110660	3718	16969	5
2019.12.10	16:30:00	110660	110715	110640	110665	8562	39263	5
2019.12.10	16:35:00	110660	110680	110630	110670	5747	28137	5
2019.12.10	16:40:00	110670	110675	110570	110615	13331	63802	5
2019.12.10	16:45:00	110610	110645	110575	110580	6590	30560	5
2019.12.10	16:50:00	110580	110620	110555	110605	7565	34380	5
2019.12.10	16:55:00	110600	110605	110560	110580	4302	22348	5
2019.12.10	17:00:00	110575	110605	110555	110565	5256	28486	5
2019.12.10	17:05:00	110555	110575	110520	110540	8834	42505	5
2019.12.10	17:10:00	110540	110600	110520	110580	7898	38756	5
2019.12.10	17:15:00	110585	110585	110465	110535	10734	51309	5
2019.12.10	17:20:00	110530	110545	110490	110515	6030	30445	5
2019.12.10	17:25:00	110520	110540	110500	110515	3515	18499	5
2019.12.10	17:30:00	110515	110520	110375	110400	11252	54794	5
2019.12.10	17:35:00	110400	110485	110390	110440	9409	49193	5
2019.12.10	17:40:00	110445	110525	110435	110520	6399	33265	5
2019.12.10	17:45:00	110520	110645	110520	110615	11548	62554	5
2019.12.10	17:50:00	110615	110640	110555	110610	7052	39054	5
2019.12.10	17:55:00	110610	110700	110555	110665	8590	49753	5
2019.12.10	18:00:00	110660	110745	110640	110725	5100	27704	5
2019.12.10	18:05:00	110725	110815	110720	110785	4419	26999	5
2019.12.11	09:00:00	111000	111155	110995	111095	21249	91675	5
2019.12.11	09:05:00	111095	111115	111040	111045	9306	38107	5
2019.12.11	09:10:00	111045	111070	111030	111035	7400	30903	5
2019.12.11	09:15:00	111035	111060	111020	111045	7102	32281	5
2019.12.11	09:20:00	111040	111070	111030	111050	5296	23625	5
2019.12.11	09:25:00	111045	111050	110945	110960	18171	77574	5
2019.12.11	09:30:00	110960	110970	110920	110940	12390	47768	5
2019.12.11	09:35:00	110940	111000	110935	110975	11615	42597	5
2019.12.11	09:40:00	110970	110995	110945	110975	5248	21105	5
2019.12.11	09:45:00	110975	111090	110965	111045	21750	86632	5
2019.12.11	09:50:00	111040	111080	111020	111060	10256	43022	5
2019.12.11	09:55:00	111055	111115	111035	111095	12378	51821	5
2019.12.11	10:00:00	111095	111200	111060	111115	28025	119522	5
2019.12.11	10:05:00	111120	111220	111105	111215	15895	67238	5
2019.12.11	10:10:00	111210	111235	111160	111175	18826	81848	5
2019.12.11	10:15:00	111180	111195	111115	111125	15859	67803	5
2019.12.11	10:20:00	111130	111160	110885	110955	43364	191354	5
2019.12.11	10:25:00	110955	111045	110935	110975	19186	85052	5
2019.12.11	10:30:00	110975	111105	110840	111060	43952	185954	5
2019.12.11	10:35:00	111060	111095	110985	111075	17712	79837	5
2019.12.11	10:40:00	111070	111135	111020	111115	17841	81440	5
2019.12.11	10:45:00	111120	111125	111050	111085	11789	57644	5
2019.12.11	10:50:00	111090	111140	111055	111105	15732	75014	5
2019.12.11	10:55:00	111100	111105	110970	110990	19343	84923	5
2019.12.11	11:00:00	110995	111045	110955	111030	13592	59756	5
2019.12.11	11:05:00	111030	111035	110965	110980	9190	44477	5
2019.12.11	11:10:00	110980	110995	110915	110935	11594	51062	5
2019.12.11	11:15:00	110940	111075	110905	111020	21172	92694	5
2019.12.11	11:20:00	111020	111075	111005	111050	13068	61409	5
2019.12.11	11:25:00	111045	111165	111035	111120	20640	94754	5
2019.12.11	11:30:00	111120	111190	111030	111180	35060	170071	5
2019.12.11	11:35:00	111175	111200	111115	111160	19971	100415	5
2019.12.11	11:40:00	111160	111245	111025	111060	36227	185321	5
2019.12.11	11:45:00	111055	111060	110960	111020	21670	103658	5
2019.12.11	11:50:00	111020	111040	110960	111010	10290	50134	5
2019.12.11	11:55:00	111010	111085	111000	111080	15682	75413	5
2019.12.11	12:00:00	111080	111085	110950	110965	17993	84271	5
2019.12.11	12:05:00	110970	111010	110925	110960	15336	73889	5
2019.12.11	12:10:00	110955	111005	110940	110970	7958	48123	5
2019.12.11	12:15:00	110975	111175	110965	111170	22137	105318	5
2019.12.11	12:20:00	111165	111230	111150	111195	21882	111598	5
2019.12.11	12:25:00	111195	111285	111175	111210	18689	94048	5
2019.12.11	12:30:00	111210	111215	111130	111135	14691	72098	5
2019.12.11	12:35:00	111135	111165	111095	111110	10396	52766	5
2019.12.11	12:40:00	111115	111180	111080	111105	14563	67279	5
2019.12.11	12:45:00	111110	111125	111030	111035	12128	64116	5
2019.12.11	12:50:00	111035	111095	111020	111035	10394	51140	5
2019.12.11	12:55:00	111035	111065	111010	111045	8563	49332	5
2019.12.11	13:00:00	111040	111085	110975	111060	16440	81209	5
2019.12.11	13:05:00	111065	111110	111000	111050	13827	66194	5
2019.12.11	13:10:00	111055	111085	111000	111045	8906	44501	5
2019.12.11	13:15:00	111045	111095	111010	111080	8860	44278	5
2019.12.11	13:20:00	111075	111110	111035	111055	8802	41378	5
2019.12.11	13:25:00	111060	111095	111030	111035	5185	27561	5
2019.12.11	13:30:00	111030	111075	111015	111050	7698	41876	5
2019.12.11	13:35:00	111050	111070	111015	111065	5457	32096	5
2019.12.11	13:40:00	111065	111090	111040	111060	5819	30808	5
2019.12.11	13:45:00	111060	111080	111040	111065	3614	22014	5
2019.12.11	13:50:00	111060	111070	111035	111045	3464	19763	5
2019.12.11	13:55:00	111045	111070	110900	110910	17043	75081	5
2019.12.11	14:00:00	110915	110945	110810	110825	25779	120873	5
2019.12.11	14:05:00	110830	110890	110815	110885	9750	46823	5
2019.12.11	14:10:00	110885	110915	110870	110880	9299	48311	5
2019.12.11	14:15:00	110885	110925	110875	110905	7482	40311	5
2019.12.11	14:20:00	110905	110930	110890	110900	5696	29975	5
2019.12.11	14:25:00	110905	110970	110825	110960	21377	94390	5
2019.12.11	14:30:00	110960	110975	110935	110960	7082	35345	5
2019.12.11	14:35:00	110965	110965	110850	110865	13296	63599	5
2019.12.11	14:40:00	110865	110895	110835	110875	7843	36893	5
2019.12.11	14:45:00	110880	110935	110875	110900	8049	39096	5
2019.12.11	14:50:00	110905	110935	110895	110920	4430	23233	5
2019.12.11	14:55:00	110920	110950	110865	110930	11727	57844	5
2019.12.11	15:00:00	110955	110965	110910	110940	9158	30249	5
2019.12.11	15:05:00	110945	110970	110915	110930	5362	25766	5
2019.12.11	15:10:00	110930	110945	110885	110900	7012	33468	5
2019.12.11	15:15:00	110900	111030	110895	111000	17885	79549	5
2019.12.11	15:20:00	111005	111010	110965	110965	7050	33904	5
2019.12.11	15:25:00	110965	110995	110960	110980	4208	20272	5
2019.12.11	15:30:00	110980	111015	110965	110970	7022	35665	5
2019.12.11	15:35:00	110970	110985	110930	110940	7730	38381	5
2019.12.11	15:40:00	110935	110950	110890	110900	9261	45825	5
2019.12.11	15:45:00	110900	110910	110745	110785	22805	110598	5
2019.12.11	15:50:00	110790	110845	110730	110790	16043	71098	5
2019.12.11	15:55:00	110790	110800	110750	110785	6276	26687	5
2019.12.11	16:00:00	110780	111000	110600	110875	40608	181430	5
2019.12.11	16:05:00	110870	110880	110705	110770	16379	81960	5
2019.12.11	16:10:00	110765	110890	110720	110860	14739	69736	5
2019.12.11	16:15:00	110865	110950	110840	110875	16893	78971	5
2019.12.11	16:20:00	110880	110920	110855	110890	7938	38816	5
2019.12.11	16:25:00	110895	110900	110815	110835	10260	50278	5
2019.12.11	16:30:00	110830	110860	110740	110790	11874	57339	5
2019.12.11	16:35:00	110790	110885	110785	110870	11271	52196	5
2019.12.11	16:40:00	110865	111065	110795	110950	28511	137791	5
2019.12.11	16:45:00	110945	111055	110875	111015	22176	98027	5
2019.12.11	16:50:00	111020	111040	110900	110985	17214	84550	5
2019.12.11	16:55:00	110985	111080	110980	111045	12075	60411	5
2019.12.11	17:00:00	111050	111165	111030	111090	22308	118781	5
2019.12.11	17:05:00	111095	111150	111070	111085	8887	48771	5
2019.12.11	17:10:00	111085	111105	110930	111005	17349	90835	5
2019.12.11	17:15:00	111010	111030	110925	110935	10294	53306	5
2019.12.11	17:20:00	110935	110980	110925	110940	6753	32903	5
2019.12.11	17:25:00	110945	111020	110935	110965	8486	42559	5
2019.12.11	17:30:00	110960	111015	110940	110990	6383	31989	5
2019.12.11	17:35:00	110985	111045	110950	111030	8555	42874	5
2019.12.11	17:40:00	111030	111035	110985	110990	4448	19905	5
2019.12.11	17:45:00	110990	111060	110855	110930	12418	61661	5
2019.12.11	17:50:00	110925	111030	110890	111010	11895	57818	5
2019.12.11	17:55:00	111010	111075	110980	111030	8717	45172	5
2019.12.11	18:00:00	111035	111095	111010	111080	4689	26385	5
2019.12.11	18:05:00	111080	111145	111045	111055	3775	21631	5
2019.12.12	09:00:00	111505	111600	111420	111510	23437	106513	5
2019.12.12	09:05:00	111510	111540	111440	111440	8949	39782	5
2019.12.12	09:10:00	111445	111485	111410	111430	11872	46294	5
2019.12.12	09:15:00	111435	111470	111380	111465	13749	57337	5
2019.12.12	09:20:00	111460	111505	111440	111470	9262	34825	5
2019.12.12	09:25:00	111475	111640	111470	111610	22143	96035	5
2019.12.12	09:30:00	111610	111640	111580	111620	14446	61863	5
2019.12.12	09:35:00	111620	111705	111615	111685	17377	73282	5
2019.12.12	09:40:00	111690	111715	111675	111680	8803	38611	5
2019.12.12	09:45:00	111675	111710	111630	111685	13483	54460	5
2019.12.12	09:50:00	111685	111700	111645	111660	6414	27135	5
2019.12.12	09:55:00	111665	111690	111610	111635	10351	41341	5
